"instructor","slug","class_slug","category","lang","url","status","file"
"Bassam Fattouh","bassam-fattouh","bassam-fattouh-teaches-bridal-makeup","design-style","en","https://www.maharat.com/en/class/design-style/bassam-fattouh-teaches-bridal-makeup","200","bassam-fattouh/bassam-fattouh-teaches-bridal-makeup.en.md"
"Bassam Fattouh","bassam-fattouh","bassam-fattouh-teaches-bridal-makeup","design-style","ar","https://www.maharat.com/ar/class/design-style/bassam-fattouh-teaches-bridal-makeup","200","bassam-fattouh/bassam-fattouh-teaches-bridal-makeup.ar.md"
"Bassam Fattouh","bassam-fattouh","bassam-fattouh-teaches-makeup","design-style","en","https://www.maharat.com/en/class/design-style/bassam-fattouh-teaches-makeup","200","bassam-fattouh/bassam-fattouh-teaches-makeup.en.md"
"Bassam Fattouh","bassam-fattouh","bassam-fattouh-teaches-makeup","design-style","ar","https://www.maharat.com/ar/class/design-style/bassam-fattouh-teaches-makeup","200","bassam-fattouh/bassam-fattouh-teaches-makeup.ar.md"
"Elda Choucair","elda-choucair","elda-choucair-teaches-marketing","business","en","https://www.maharat.com/en/class/business/elda-choucair-teaches-marketing","200","elda-choucair/elda-choucair-teaches-marketing.en.md"
"Elda Choucair","elda-choucair","elda-choucair-teaches-marketing","business","ar","https://www.maharat.com/ar/class/business/elda-choucair-teaches-marketing","200","elda-choucair/elda-choucair-teaches-marketing.ar.md"
"Toufic Kreidieh","toufic-kreidieh","toufic-kreidieh-teaches-building-and-growing-your-business","business","en","https://www.maharat.com/en/class/business/toufic-kreidieh-teaches-building-and-growing-your-business","200","toufic-kreidieh/toufic-kreidieh-teaches-building-and-growing-your-business.en.md"
"Toufic Kreidieh","toufic-kreidieh","toufic-kreidieh-teaches-building-and-growing-your-business","business","ar","https://www.maharat.com/ar/class/business/toufic-kreidieh-teaches-building-and-growing-your-business","200","toufic-kreidieh/toufic-kreidieh-teaches-building-and-growing-your-business.ar.md"
"Rahma Riad","rahma-riad","rahma-riad-teaches-building-a-career-in-the-digital-age","business","en","https://www.maharat.com/en/class/business/rahma-riad-teaches-building-a-career-in-the-digital-age","200","rahma-riad/rahma-riad-teaches-building-a-career-in-the-digital-age.en.md"
"Rahma Riad","rahma-riad","rahma-riad-teaches-building-a-career-in-the-digital-age","business","ar","https://www.maharat.com/ar/class/business/rahma-riad-teaches-building-a-career-in-the-digital-age","200","rahma-riad/rahma-riad-teaches-building-a-career-in-the-digital-age.ar.md"
"Ragheb Alama","ragheb-alama","ragheb-alama-teaches-music-and-performance","music","en","https://www.maharat.com/en/class/music/ragheb-alama-teaches-music-and-performance","200","ragheb-alama/ragheb-alama-teaches-music-and-performance.en.md"
"Ragheb Alama","ragheb-alama","ragheb-alama-teaches-music-and-performance","music","ar","https://www.maharat.com/ar/class/music/ragheb-alama-teaches-music-and-performance","200","ragheb-alama/ragheb-alama-teaches-music-and-performance.ar.md"
"Salam Dakkak","salam-dakkak","salam-dakkak-teaches-levantine-cooking","cooking","en","https://www.maharat.com/en/class/cooking/salam-dakkak-teaches-levantine-cooking","200","salam-dakkak/salam-dakkak-teaches-levantine-cooking.en.md"
"Salam Dakkak","salam-dakkak","salam-dakkak-teaches-levantine-cooking","cooking","ar","https://www.maharat.com/ar/class/cooking/salam-dakkak-teaches-levantine-cooking","200","salam-dakkak/salam-dakkak-teaches-levantine-cooking.ar.md"
"Cedric Haddad","cedric-haddad","cedric-haddad-teaches-personal-styling","design-style","en","https://www.maharat.com/en/class/design-style/cedric-haddad-teaches-personal-styling","200","cedric-haddad/cedric-haddad-teaches-personal-styling.en.md"
"Cedric Haddad","cedric-haddad","cedric-haddad-teaches-personal-styling","design-style","ar","https://www.maharat.com/ar/class/design-style/cedric-haddad-teaches-personal-styling","200","cedric-haddad/cedric-haddad-teaches-personal-styling.ar.md"
"Kosai Khauli","kosai-khauli","kosai-khauli-teaches-acting","acting","en","https://www.maharat.com/en/class/acting/kosai-khauli-teaches-acting","200","kosai-khauli/kosai-khauli-teaches-acting.en.md"
"Kosai Khauli","kosai-khauli","kosai-khauli-teaches-acting","acting","ar","https://www.maharat.com/ar/class/acting/kosai-khauli-teaches-acting","200","kosai-khauli/kosai-khauli-teaches-acting.ar.md"
